agent_id,category,battery_capacity_kwh,battery_power_kw,flex_demand_kwh
0,Consumer,0.0,0.0,21.677809876009157
1,Solar Prosumer,12.450382669357476,6.059868392630616,17.333028482233814
2,Solar Prosumer,11.684686175356486,4.805046697768327,17.815703426736214
3,Solar Prosumer,15.28377402806773,5.735643819137555,17.472605220576973
4,Solar Prosumer,13.874056037535029,5.205604729621805,18.802682471675844
5,Consumer,0.0,0.0,10.042085167461373
6,Consumer,0.0,0.0,7.954178835356584
7,Solar Prosumer,18.721151600619184,5.1386295254185,6.453214021788219
8,Consumer,0.0,0.0,8.374826096282913
9,Consumer,0.0,0.0,24.111811756939108
10,Consumer,0.0,0.0,8.65954082106713
11,Solar Prosumer,6.403204908377164,4.072095049113475,6.209814057799438
12,Consumer,0.0,0.0,16.515226105610914
13,Solar Prosumer,16.251806435359477,7.317678811672382,13.873333165938753
14,Consumer,0.0,0.0,21.98570480634143
15,Consumer,0.0,0.0,23.019702028640406
16,Consumer,0.0,0.0,5.636519884832817
17,Solar Prosumer,6.3260599534047195,4.670014860448035,12.008209088467359
18,Consumer,0.0,0.0,6.275194745607454
19,Consumer,0.0,0.0,4.142186211622723
20,Solar Prosumer,15.652790140074712,7.808391894279533,11.318748558993818
21,Solar Prosumer,5.382421790021276,5.642928095815731,7.578846215583514
22,Arbitrageur,13.18011138760116,5.370095454898567,2.053965939272388
23,Consumer,0.0,0.0,21.532838028428753
24,Solar Prosumer,12.415892381152206,4.262229284948539,17.352896207392895
25,Solar Prosumer,16.839124262185585,4.4143876094631125,12.152640229582627
26,Arbitrageur,15.602998447194864,5.539002636770214,5.893749725534896
27,Consumer,0.0,0.0,4.926146914009086
28,Consumer,0.0,0.0,23.055418185879766
29,Consumer,0.0,0.0,8.666330966248902
30,Consumer,0.0,0.0,12.250800414134915
31,Consumer,0.0,0.0,13.044854358299274
32,Solar Prosumer,13.981851274830545,5.283388582962006,15.670944057232274
33,Consumer,0.0,0.0,11.496225065304088
34,Consumer,0.0,0.0,16.538779934372386
35,Solar Prosumer,10.24068412810161,4.060004319390243,15.387053913153535
36,Consumer,0.0,0.0,11.555367303485987
37,Consumer,0.0,0.0,15.557884894696226
38,Solar Prosumer,9.019950901142296,3.7290149006487514,11.486050228508624
39,Consumer,0.0,0.0,19.949007563282926
40,Solar Prosumer,18.529158287715205,4.376644885781481,17.457410333826605
41,Consumer,0.0,0.0,4.031309055822034
42,Solar Prosumer,18.61105913555626,3.16524633408887,18.38291695155359
43,Consumer,0.0,0.0,10.498260482152467
44,Solar Prosumer,10.594521218236071,6.0910981934624076,6.093563225387729
45,Solar Prosumer,9.271251876483591,4.265768161043508,15.32299701427312
46,Solar Prosumer,9.916723995968566,3.372210386365796,7.808646083955574
47,Solar Prosumer,14.809960148090543,5.370351585919528,18.47510218501985
48,Arbitrageur,11.922391445080935,5.138943982201958,5.968737072727911
49,Arbitrageur,17.27791556058734,6.795011221238196,5.604992923880399
50,Solar Prosumer,18.916552686824357,6.883485604703582,6.188407575857503
51,Solar Prosumer,16.555961729457124,6.367487769872584,15.87769250612433
52,Solar Prosumer,5.727015325301112,7.943616298395821,17.419072359408894
53,Solar Prosumer,17.281512419169886,4.3567581760208185,16.631102679635354
54,Consumer,0.0,0.0,24.946851967456833
55,Wind Prosumer,17.58452680904103,4.788242795121028,6.613753600403152
56,Consumer,0.0,0.0,23.434367949799764
57,Consumer,0.0,0.0,17.195586921934208
58,Solar Prosumer,14.043126501339183,4.902972203208348,16.005112447274648
59,Consumer,0.0,0.0,24.590746030475128
60,Arbitrageur,16.104277490429418,5.160434320775959,2.8082192612750347
61,Consumer,0.0,0.0,24.8582713897667
62,Consumer,0.0,0.0,17.99573403038628
63,Wind Prosumer,16.357998065891266,4.711208583984335,8.249024948384053
64,Solar Prosumer,9.801013374966347,4.660089446219555,10.752896971298984
65,Solar Prosumer,16.41677883335945,7.751215626174636,6.42253154399981
66,Arbitrageur,19.35366705174114,5.873212854674784,4.775620014436036
67,Consumer,0.0,0.0,11.765846311635412
68,Consumer,0.0,0.0,3.2099547917766156
69,Wind Prosumer,21.421255432570085,4.943618245146466,11.98474058999777
70,Arbitrageur,17.465540446273017,5.371308479784885,3.8186110264920288
71,Consumer,0.0,0.0,22.496474640316805
72,Wind Prosumer,21.562696523521176,6.214604253246734,9.929013407630865
73,Consumer,0.0,0.0,13.766411070574264
74,Solar Prosumer,4.23472300388419,5.894379597339954,12.647533408954617
75,Arbitrageur,11.406558375183035,5.710683512957986,2.095832270226415
76,Consumer,0.0,0.0,19.259820089949635
77,Consumer,0.0,0.0,17.931019991998628
78,Wind Prosumer,16.802730953009178,6.616470813905987,5.919593783082929
79,Solar Prosumer,17.016290728240683,6.37465407431891,10.154195544325542
80,Solar Prosumer,5.07350469851386,3.717853370954158,11.384911558043225
81,Consumer,0.0,0.0,18.096995786333974
82,Solar Prosumer,13.75237797310435,7.006673436681796,14.160620706730946
83,Arbitrageur,15.60074247321321,5.675381237989084,5.104954079970442
84,Solar Prosumer,11.122801214202159,5.0354319988555885,17.581254722248275
85,Consumer,0.0,0.0,19.02130523373959
86,Consumer,0.0,0.0,11.42494557211114
87,Solar Prosumer,6.949183036332631,6.519111947736532,9.592526201780576
88,Consumer,0.0,0.0,12.318911189022083
89,Solar Prosumer,4.653450592301105,5.105906012081196,9.924612500853303
90,Consumer,0.0,0.0,19.722926793404174
91,Consumer,0.0,0.0,7.432880512999967
92,Consumer,0.0,0.0,16.353679000807446
93,Solar Prosumer,14.382661283667813,3.2270359990712785,9.008079852908214
94,Solar Prosumer,13.67784919446847,5.097100545080146,6.724213052456446
95,Wind Prosumer,8.970011427531766,4.309963475334982,11.339047145353259
96,Solar Prosumer,12.101155506774806,3.0762034889641323,15.187180708485917
97,Consumer,0.0,0.0,12.269140709018858
98,Solar Prosumer,18.65733410284728,5.285438877917856,13.375840161672794
99,Solar Prosumer,13.835701587762687,3.715543496615653,11.600136129300568
100,Consumer,0.0,0.0,14.733541238261587
101,Wind Prosumer,8.310532713831622,6.722350211115353,5.970962401969363
102,Consumer,0.0,0.0,4.191022831212636
103,Solar Prosumer,11.767635597387434,4.240838743666503,19.661610906564825
104,Solar Prosumer,7.22541081160799,5.085962320313377,9.065628895636879
105,Consumer,0.0,0.0,3.155170631631907
106,Consumer,0.0,0.0,16.5241606842963
107,Solar Prosumer,17.288195201696826,7.619634377452241,18.030220019662636
108,Consumer,0.0,0.0,14.777300005975334
109,Solar Prosumer,17.324259664255393,7.591551244947535,15.549969376541128
110,Consumer,0.0,0.0,4.5407254846457565
111,Solar Prosumer,9.02369862824424,7.426400327921022,11.55120696975581
112,Solar Prosumer,16.762679700154393,5.073998028794385,11.488084778071546
113,Solar Prosumer,11.501559253852987,6.479341959019608,18.50252498425887
114,Solar Prosumer,9.918449106140793,5.383414077214351,17.566111905059152
115,Solar Prosumer,6.88782253351042,3.5174679777676356,7.002323502797077
116,Consumer,0.0,0.0,12.46169952270032
117,Consumer,0.0,0.0,7.77695574772585
118,Consumer,0.0,0.0,10.100243073287547
119,Solar Prosumer,5.185513835762771,6.900360716035378,18.041086435947157
120,Consumer,0.0,0.0,18.526167953794335
121,Consumer,0.0,0.0,18.778276094179905
122,Consumer,0.0,0.0,22.166817393775286
123,Consumer,0.0,0.0,5.274277040546612
124,Solar Prosumer,10.729741345530464,3.2146084813857523,18.25522097299753
125,Solar Prosumer,16.66859270766914,5.496063110143975,11.93582837971569
126,Arbitrageur,14.360670940715346,6.726098926693499,5.154420648371138
